Theme,Feedback,Sentiment,Satisfaction,Readmission,Feedback_Length,Word_Count,Theme_Sentiment_Ratio,about,admitted,after,and,appointments,appreciated,before,being,by,clear,clearly,comfortable,communicative,condition,confused,confusing,did,discharge,doctor,doctors,due,during,easy,excellent,explained,feel,felt,follow,for,forever,forgot,had,helpful,hours,instructions,jargon,long,made,me,medical,medication,medicines,much,my,not,notes,nurse,nurses,on,paperwork,patient,pharmacy,prescriptions,process,quickly,reminders,rushed,schedule,seen,service,staff,started,tests,the,time,to,too,took,unclear,understand,used,very,wait,waiting,was,well,were,Theme_communication,Theme_discharge,Theme_medication,Theme_wait_time
wait_time,i had to wait for hours before being admitted,0,1,0,45,9,0.3076923076923077,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,0.37121645247215074,0.37121645247215074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30770906718816404,0.0,0.0,0.37121645247215074,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28018779854615133,0.0,0.0,0.0,0.0,0.0,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,False,False,False,True
communication,doctor explained my condition clearly,1,5,0,37,5,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278239372909899,0.0,0.0,0.5278239372909899,0.0,0.0,0.0,0.0,0.38903351301520317,0.0,0.0,0.0,0.0,0.0,0.44025692910458974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124588686078863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
medication,i forgot my schedule due to unclear medication notes,0,1,0,52,9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564309501824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564309501824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3196676123737343,0.0,0.0,0.2635980687222159,0.0,0.38564309501824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38564309501824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29107678040156965,0.0,0.0,0.38564309501824356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
communication,nurses were very patient and communicative,1,5,0,42,6,0.7142857142857143,0.0,0.0,0.0,0.4414767932730095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414767932730095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4414767932730095,0.0,0.0,0.4414767932730095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3758636304851487,0.0,0.0,0.0,0.0,0.2812818786983001,True,False,False,False
medication,i appreciated the reminders about my medicines,1,5,0,46,7,0.5,0.4077407074642401,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.29950413082539135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23654998602569074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
communication,doctor explained my condition clearly,1,4,1,37,5,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278239372909899,0.0,0.0,0.5278239372909899,0.0,0.0,0.0,0.0,0.38903351301520317,0.0,0.0,0.0,0.0,0.0,0.44025692910458974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124588686078863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
discharge,discharge paperwork was easy to follow,1,5,1,38,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2870850082752284,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33428996283875956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206759834840044,0.0,0.0,False,True,False,False
discharge,the staff rushed me during discharge,0,1,0,36,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31467640915295253,0.0,0.0,0.0,0.48546173732140724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42482190299404066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48546173732140724,0.0,0.0,0.0,0.42482190299404066,0.0,0.0,0.26207873280640187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
communication,the staff made me feel comfortable,1,5,0,34,6,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.3763386701453063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763386701453063,0.0,0.0,0.23216873019636164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
communication,doctor explained my condition clearly,1,4,0,37,5,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5278239372909899,0.0,0.0,0.5278239372909899,0.0,0.0,0.0,0.0,0.38903351301520317,0.0,0.0,0.0,0.0,0.0,0.44025692910458974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3124588686078863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
wait_time,i had to wait for hours before being admitted,0,1,1,45,9,0.3076923076923077,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,0.37121645247215074,0.37121645247215074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30770906718816404,0.0,0.0,0.37121645247215074,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28018779854615133,0.0,0.0,0.0,0.0,0.0,0.0,0.37121645247215074,0.0,0.0,0.0,0.0,False,False,False,True
discharge,discharge paperwork was easy to follow,1,4,0,38,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2870850082752284,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4840796533579431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33428996283875956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3206759834840044,0.0,0.0,False,True,False,False
medication,medication instructions were confusing,0,3,1,38,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6174922170709604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414487800735435,0.0,0.0,0.0,0.0,0.0,0.5118521898624933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43001227962845723,False,False,True,False
discharge,i felt confused about my discharge process,1,5,1,42,7,0.5,0.41580153180739043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883865104569759,0.0,0.0,0.2896392038447782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41580153180739043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30542517364607447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883865104569759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
medication,medication instructions were confusing,0,1,0,38,4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6174922170709604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414487800735435,0.0,0.0,0.0,0.0,0.0,0.5118521898624933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43001227962845723,False,False,True,False
wait_time,waiting for tests took forever,0,1,0,30,5,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963353270083797,0.4781340875843378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4781340875843378,0.0,0.0,0.0,0.0,0.4781340875843378,0.0,0.0,0.0,0.0,0.0,0.3963353270083797,0.0,0.0,0.0,False,False,False,True
wait_time,waiting for tests took forever,0,3,0,30,5,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3963353270083797,0.4781340875843378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4781340875843378,0.0,0.0,0.0,0.0,0.4781340875843378,0.0,0.0,0.0,0.0,0.0,0.3963353270083797,0.0,0.0,0.0,False,False,False,True
medication,the nurse explained my prescriptions well,1,4,0,41,6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41952843953553137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29774745813248255,0.0,0.0,0.4761095502994295,0.0,0.0,0.0,0.0,0.0,0.4761095502994295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2351625564105662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4761095502994295,0.0,False,False,True,False
communication,i felt the doctor used too much medical jargon,1,4,1,46,9,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31230300351983314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3414784153824956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19810804491206874,0.0,0.0,0.3211273029931183,0.0,0.0,0.0,0.4010890747807258,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
medication,i appreciated the reminders about my medicines,1,4,1,46,7,0.5,0.4077407074642401,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.29950413082539135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4789185369859656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23654998602569074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False
wait_time,appointments started on time,1,5,0,28,4,0.3076923076923077,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.4195896431721194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
discharge,i felt confused about my discharge process,1,5,0,42,7,0.5,0.41580153180739043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883865104569759,0.0,0.0,0.2896392038447782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41580153180739043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30542517364607447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4883865104569759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False
wait_time,appointments started on time,1,4,0,28,4,0.3076923076923077,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240688667667935,0.0,0.0,0.4195896431721194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,True
communication,the staff made me feel comfortable,1,4,0,34,6,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4700482568933866,0.3763386701453063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3763386701453063,0.0,0.0,0.23216873019636164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,False
wait_time,waiting time was too long,0,2,1,25,5,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5168867056023675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45232152613695853,0.0,0.45232152613695853,0.0,0.0,0.0,0.0,0.0,0.0,0.4284581811060756,0.3742488404805953,0.0,0.0,False,False,False,True
